,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
2832560,10:00:06.492000,5,False,False,356,166,122915,1217,cam1
2832593,10:00:09.189000,5,False,False,355,166,122915,1239,cam1
2832614,10:00:10.993000,5,False,False,350,301,122943,974,cam1
2832678,10:00:16.238000,5,False,False,279,221,18652,1247,cam0
2832682,10:00:16.708000,5,False,False,354,166,122915,1217,cam1
2832706,10:00:18.684000,5,False,False,348,305,122943,868,cam1
2832768,10:00:23.740000,5,False,False,348,305,122943,879,cam1
2832781,10:00:24.943000,5,False,False,279,220,18652,1247,cam0
2832806,10:00:26.993000,5,False,False,345,306,122943,868,cam1
2832935,10:00:38.444000,5,False,False,280,219,18652,1210,cam0
2832959,10:00:40.444000,5,False,False,280,219,18652,1232,cam0
2832981,10:00:42.239000,5,False,False,280,220,18652,1216,cam0
2833014,10:00:44.744000,5,False,False,300,181,18667,1003,cam0
2833040,10:00:46.945000,5,False,False,215,173,18674,1210,cam0
2833099,10:00:51.743000,5,False,False,215,173,18674,1210,cam0
2833189,10:00:59.241000,5,False,False,216,173,18674,1210,cam0
2833211,10:01:01.192000,5,False,False,353,170,122915,1255,cam1
2833263,10:01:05.440000,5,False,False,281,218,18652,1248,cam0
2833315,10:01:11.435000,5,False,False,215,173,18674,1210,cam0
2833321,10:01:12.191000,5,False,False,353,170,122915,1255,cam1
2833407,10:01:19.742000,5,False,False,281,218,18681,1248,cam0
2833441,10:01:23.992000,5,False,False,353,170,122915,1247,cam1
2833466,10:01:26.245000,5,False,False,301,213,18681,1343,cam0
2833467,10:01:26.245000,5,False,False,216,173,18682,1210,cam0
2833519,10:01:29.939000,5,False,False,300,211,18681,1357,cam0
2833533,10:01:30.744000,5,False,False,299,211,18681,1323,cam0
2833581,10:01:33.942000,5,False,False,299,212,18681,1323,cam0
2833595,10:01:34.991000,5,False,False,354,171,122915,1218,cam1
2833609,10:01:36.236000,5,False,False,299,212,18681,1323,cam0
2833630,10:01:38.191000,5,False,False,353,170,122915,1247,cam1
2833669,10:01:42.993000,5,False,False,353,170,122915,1255,cam1
2833732,10:01:48.216000,5,False,False,352,298,122951,994,cam1
