,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
2344471,08:00:02.438000,4,True,False,475,227,42338,1234,cam2
2344535,08:00:05.235000,4,True,False,475,227,42338,1234,cam2
2344602,08:00:07.926000,4,True,False,357,133,28430,1211,cam1
2344692,08:00:11.725000,4,True,False,355,161,28408,1290,cam1
2344702,08:00:11.987000,4,True,False,225,255,29451,1233,cam0
2344761,08:00:14.587000,4,True,False,235,211,29341,1205,cam0
2344868,08:00:18.943000,4,True,False,398,231,42495,1296,cam2
2344974,08:00:23.428000,4,True,False,357,161,28408,1260,cam1
2345053,08:00:26.743000,4,True,False,468,225,42338,1210,cam2
2345173,08:00:31.643000,4,True,False,356,134,28430,1211,cam1
2345241,08:00:34.437000,4,True,False,357,161,28408,1253,cam1
2345256,08:00:34.938000,4,True,False,414,227,42495,1218,cam2
2345279,08:00:35.933000,4,True,False,465,227,42338,1193,cam2
2345321,08:00:37.781000,4,True,False,234,210,29341,1205,cam0
2345388,08:00:41.229000,4,True,False,358,133,28430,1211,cam1
2345402,08:00:41.786000,4,True,False,233,210,29341,1205,cam0
2345472,08:00:45.433000,4,True,False,414,227,42495,1202,cam2
2345495,08:00:46.489000,4,True,False,230,215,29341,1204,cam0
2345508,08:00:47.094000,4,True,False,222,253,29451,1225,cam0
2345545,08:00:48.728000,4,True,False,354,161,28438,1297,cam1
2345576,08:00:49.783000,4,True,False,226,254,29451,1233,cam0
2345615,08:00:51.458000,4,True,False,353,161,28438,1290,cam1
2345623,08:00:51.783000,4,True,False,234,211,29341,1166,cam0
2345659,08:00:53.280000,4,True,False,235,210,29341,1167,cam0
2345850,08:01:01.236000,4,True,False,414,228,42495,1178,cam2
2346111,08:01:12.460000,4,True,False,412,226,42495,1218,cam2
2346131,08:01:13.238000,4,True,False,413,227,42495,1210,cam2
2346136,08:01:13.439000,4,True,False,413,227,42495,1210,cam2
2346156,08:01:14.241000,4,True,False,466,226,42515,1194,cam2
2346157,08:01:14.284000,4,True,False,234,210,29341,1205,cam0
2346217,08:01:16.781000,4,True,False,225,255,29451,1210,cam0
2346245,08:01:17.959000,4,True,False,343,118,28439,1207,cam1
2346272,08:01:19.089000,4,True,False,222,255,29451,1202,cam0
2346316,08:01:20.933000,4,True,False,414,226,42495,1210,cam2
2346354,08:01:22.464000,4,True,False,354,160,28438,1297,cam1
2346445,08:01:26.279000,4,True,False,221,254,29451,1233,cam0
2346447,08:01:26.441000,4,True,False,465,226,42515,1202,cam2
2346513,08:01:29.158000,4,True,False,345,119,28439,1208,cam1
2346534,08:01:29.959000,4,True,False,345,119,28439,1208,cam1
2346653,08:01:34.961000,4,True,False,346,120,28439,1208,cam1
2346671,08:01:35.737000,4,True,False,414,227,42495,1210,cam2
2346691,08:01:36.584000,4,True,False,234,212,29341,1205,cam0
2346754,08:01:39.154000,4,True,False,346,119,28439,1208,cam1
2346835,08:01:42.589000,4,True,False,225,254,29451,1233,cam0
2346942,08:01:46.956000,4,True,False,356,133,28439,1211,cam1
2347075,08:01:52.662000,4,True,False,357,132,28439,1195,cam1
2347233,08:01:59.238000,4,True,False,414,227,42495,1219,cam2
2347254,08:02:00.089000,4,True,False,239,212,29341,1206,cam0
2347299,08:02:01.958000,4,True,False,356,133,28439,1211,cam1
2347461,08:02:09.464000,4,True,False,354,161,28438,1290,cam1
2347552,08:02:13.284000,4,True,False,239,210,29341,1206,cam0
2347554,08:02:13.444000,4,True,False,484,225,42522,1197,cam2
2347578,08:02:14.439000,4,True,False,407,228,42495,1254,cam2
2347603,08:02:15.437000,4,True,False,484,225,42522,1189,cam2
2347613,08:02:15.780000,4,True,False,239,210,29341,1221,cam0
2347658,08:02:17.742000,4,True,False,411,229,42495,1217,cam2
2347670,08:02:18.238000,4,True,False,411,229,42495,1217,cam2
2347685,08:02:18.785000,4,True,False,239,210,29341,1206,cam0
2347895,08:02:27.596000,4,True,False,225,255,29451,1233,cam0
2347924,08:02:28.789000,4,True,False,239,210,29341,1206,cam0
