,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
3107263,10:00:01.235000,6,False,False,379,101,20924,1390,cam0
3107301,10:00:03.187000,6,False,False,339,109,107415,1428,cam2
3107664,10:00:20.741000,6,False,False,294,104,20859,1422,cam0
3107675,10:00:21.240000,6,False,False,294,104,20859,1409,cam0
3107683,10:00:21.686000,6,False,False,336,116,107415,1486,cam2
3107715,10:00:23.228000,6,False,False,395,296,128329,1026,cam1
3107750,10:00:24.939000,6,False,False,382,103,20927,1422,cam0
3107797,10:00:27.183000,6,False,False,335,114,107415,1457,cam2
3107815,10:00:27.938000,6,False,False,381,103,20927,1422,cam0
3107820,10:00:28.235000,6,False,False,382,103,20927,1422,cam0
3107831,10:00:28.739000,6,False,False,289,105,20859,1389,cam0
3108044,10:00:39.440000,6,False,False,381,102,20927,1422,cam0
3108178,10:00:46.185000,6,False,False,335,113,107415,1457,cam2
3108320,10:00:53.931000,6,False,False,333,304,128350,922,cam1
3108402,10:00:58.935000,6,False,False,333,296,128350,865,cam1
3108545,10:01:07.701000,6,False,False,336,117,107415,1491,cam2
3108547,10:01:07.734000,6,False,False,392,292,128329,1073,cam1
3108572,10:01:08.987000,6,False,False,337,119,107415,1485,cam2
3108643,10:01:11.986000,6,False,False,283,75,107581,884,cam2
3108668,10:01:13.188000,6,False,False,335,116,107415,1486,cam2
3108710,10:01:14.928000,6,False,False,391,292,128329,1073,cam1
3108876,10:01:21.737000,6,False,False,295,107,20859,1457,cam0
3108911,10:01:23.226000,6,False,False,389,288,128329,1072,cam1
3108934,10:01:24.226000,6,False,False,334,297,128350,866,cam1
3108944,10:01:24.681000,6,False,False,281,76,107581,894,cam2
3108946,10:01:24.735000,6,False,False,390,286,128329,1099,cam1
3108956,10:01:25.190000,6,False,False,338,108,107415,1415,cam2
3109027,10:01:28.189000,6,False,False,338,110,107415,1428,cam2
3109033,10:01:28.435000,6,False,False,392,290,128329,1073,cam1
3109058,10:01:29.487000,6,False,False,280,74,107581,928,cam2
3109085,10:01:30.734000,6,False,False,391,95,20935,1169,cam0
3109145,10:01:33.736000,6,False,False,293,106,20859,1439,cam0
3109163,10:01:34.730000,6,False,False,336,295,128350,941,cam1
3109257,10:01:39.238000,6,False,False,380,107,20935,1475,cam0
3109286,10:01:40.935000,6,False,False,334,303,128350,910,cam1
3109291,10:01:41.185000,6,False,False,338,110,107415,1415,cam2
3109371,10:01:45.242000,6,False,False,299,106,20859,1452,cam0
3109417,10:01:47.683000,6,False,False,339,108,107415,1403,cam2
3109451,10:01:49.726000,6,False,False,333,302,128350,910,cam1
3109465,10:01:50.441000,6,False,False,297,107,20859,1446,cam0
3109551,10:01:54.736000,6,False,False,383,102,20955,1428,cam0
3109584,10:01:56.433000,6,False,False,384,275,128329,1175,cam1
3109597,10:01:56.988000,6,False,False,339,108,107415,1397,cam2
3109605,10:01:57.433000,6,False,False,386,279,128329,1150,cam1
3109672,10:02:00.732000,6,False,False,391,290,128329,1073,cam1
3109684,10:02:01.235000,6,False,False,382,102,20955,1415,cam0
3109700,10:02:01.986000,6,False,False,338,109,107415,1415,cam2
3109707,10:02:02.428000,6,False,False,393,291,128329,1073,cam1
3109719,10:02:02.935000,6,False,False,392,290,128329,1073,cam1
3109777,10:02:06.487000,6,False,False,339,104,107415,1398,cam2
3109807,10:02:08.429000,6,False,False,391,290,128329,1073,cam1
3110002,10:02:18.732000,6,False,False,336,300,128350,932,cam1
3110021,10:02:19.687000,6,False,False,339,103,107415,1399,cam2
3110087,10:02:22.930000,6,False,False,392,290,128329,1073,cam1
3110114,10:02:24.230000,6,False,False,337,301,128350,922,cam1
3110190,10:02:27.428000,6,False,False,391,290,128329,1073,cam1
3110195,10:02:27.479000,6,False,False,339,105,107415,1398,cam2
3110246,10:02:29.736000,6,False,False,391,290,128329,1073,cam1
3110306,10:02:32.230000,6,False,False,391,289,128329,1073,cam1
3110309,10:02:32.237000,6,False,False,287,107,20859,1456,cam0
3110445,10:02:38.683000,6,False,False,340,104,107415,1399,cam2
3110468,10:02:39.738000,6,False,False,381,105,20975,1452,cam0
3110525,10:02:42.434000,6,False,False,300,112,20859,1469,cam0
3110541,10:02:43.238000,6,False,False,300,110,20859,1475,cam0
3110671,10:02:49.436000,6,False,False,391,289,128329,1073,cam1
3110731,10:02:52.236000,6,False,False,379,106,21012,1481,cam0
3110811,10:02:55.940000,6,False,False,376,107,21012,1491,cam0
3110955,10:03:01.487000,6,False,False,340,104,107415,1399,cam2
3111034,10:03:04.234000,6,False,False,377,105,21012,1481,cam0
3111056,10:03:04.935000,6,False,False,377,105,21012,1481,cam0
3111076,10:03:05.741000,6,False,False,296,111,20859,1480,cam0
3111083,10:03:05.984000,6,False,False,340,104,107415,1398,cam2
3111106,10:03:07.236000,6,False,False,339,303,128350,922,cam1
3111111,10:03:07.435000,6,False,False,377,106,21012,1481,cam0
3111269,10:03:14.257000,6,False,False,391,289,128329,1072,cam1
3111276,10:03:14.485000,6,False,False,340,104,107415,1399,cam2
3111288,10:03:15.159000,6,False,False,338,302,128350,922,cam1
3111486,10:03:23.950000,6,False,False,336,288,128350,908,cam1
3111525,10:03:25.954000,6,False,False,393,203,128480,1706,cam1
3111648,10:03:30.934000,6,False,False,380,106,21077,1475,cam0
3111657,10:03:31.242000,6,False,False,381,106,21077,1469,cam0
3111705,10:03:33.236000,6,False,False,380,105,21077,1475,cam0
3111752,10:03:35.179000,6,False,False,340,104,107415,1398,cam2
3111772,10:03:35.935000,6,False,False,296,109,21064,1469,cam0
3111828,10:03:38.459000,6,False,False,392,201,128480,1697,cam1
3111877,10:03:40.741000,6,False,False,285,116,21095,1033,cam0
3111928,10:03:42.473000,6,False,False,380,110,21077,1480,cam0
3111933,10:03:42.682000,6,False,False,340,104,107415,1399,cam2
3112010,10:03:46.436000,6,False,False,297,109,21064,1469,cam0
3112039,10:03:47.957000,6,False,False,393,294,128329,1026,cam1
3112061,10:03:49.254000,6,False,False,394,293,128329,1044,cam1
3112172,10:03:54.942000,6,False,False,272,101,21104,891,cam0
3112234,10:03:57.980000,6,False,False,339,104,107415,1398,cam2
3112244,10:03:58.483000,6,False,False,339,104,107415,1399,cam2
3112361,10:04:04.457000,6,False,False,391,287,128329,1072,cam1
3112434,10:04:08.984000,6,False,False,335,104,107415,1404,cam2
3112556,10:04:16.489000,6,False,False,334,114,107415,1492,cam2
3112579,10:04:17.955000,6,False,False,391,288,128329,1073,cam1
3112694,10:04:24.234000,6,False,False,386,103,21117,1423,cam0
3112831,10:04:31.239000,6,False,False,383,106,21117,1421,cam0
3112871,10:04:33.739000,6,False,False,383,107,21117,1421,cam0
3112913,10:04:36.252000,6,False,False,392,288,128329,1082,cam1
3112920,10:04:36.737000,6,False,False,383,109,21117,1421,cam0
3112921,10:04:36.749000,6,False,False,395,295,128329,1026,cam1
3112931,10:04:37.432000,6,False,False,295,109,21064,1480,cam0
3113055,10:04:45.179000,6,False,False,335,114,107415,1486,cam2
3113072,10:04:46.231000,6,False,False,296,111,21064,1474,cam0
3113158,10:04:51.485000,6,False,False,337,112,107415,1458,cam2
3113165,10:04:51.955000,6,False,False,387,283,128329,1116,cam1
3113196,10:04:53.738000,6,False,False,385,114,21117,1401,cam0
3113217,10:04:54.932000,6,False,False,386,113,21117,1389,cam0
3113318,10:05:01.233000,6,False,False,386,113,21117,1388,cam0
3113355,10:05:03.486000,6,False,False,337,116,107415,1474,cam2
3113386,10:05:05.449000,6,False,False,387,283,128329,1116,cam1
3113393,10:05:05.938000,6,False,False,386,114,21117,1388,cam0
3113396,10:05:06.179000,6,False,False,335,117,107415,1486,cam2
3113401,10:05:06.442000,6,False,False,385,114,21117,1413,cam0
3113466,10:05:10.451000,6,False,False,387,283,128329,1117,cam1
3113527,10:05:14.254000,6,False,False,387,283,128329,1117,cam1
3113620,10:05:20.198000,6,False,False,337,115,107415,1462,cam2
3113679,10:05:23.756000,6,False,False,387,283,128329,1116,cam1
3113737,10:05:26.955000,6,False,False,386,281,128329,1124,cam1
3113759,10:05:28.432000,6,False,False,296,109,21064,1469,cam0
3113801,10:05:30.955000,6,False,False,391,282,128329,1116,cam1
3113802,10:05:30.979000,6,False,False,335,116,107415,1486,cam2
3113820,10:05:32.230000,6,False,False,386,116,21117,1388,cam0
3113838,10:05:33.250000,6,False,False,395,289,128329,1073,cam1
3113905,10:05:37.234000,6,False,False,381,108,21117,1420,cam0
3113951,10:05:39.978000,6,False,False,336,115,107415,1475,cam2
3113977,10:05:41.740000,6,False,False,383,106,21117,1421,cam0
3114054,10:05:46.451000,6,False,False,392,289,128329,1073,cam1
3114075,10:05:47.737000,6,False,False,297,109,21064,1440,cam0
3114151,10:05:51.450000,6,False,False,389,287,128329,1072,cam1
3114178,10:05:52.750000,6,False,False,337,300,128518,974,cam1
3114223,10:05:54.986000,6,False,False,336,115,107415,1487,cam2
3114340,10:06:00.931000,6,False,False,295,108,21064,1469,cam0
3114435,10:06:05.455000,6,False,False,389,288,128329,1072,cam1
3114469,10:06:06.949000,6,False,False,338,300,128518,922,cam1
3114513,10:06:09.178000,6,False,False,336,116,107415,1486,cam2
3114592,10:06:13.253000,6,False,False,295,109,21064,1469,cam0
3114674,10:06:17.253000,6,False,False,389,285,128329,1117,cam1
3114687,10:06:17.938000,6,False,False,295,109,21064,1480,cam0
3114697,10:06:18.435000,6,False,False,295,109,21064,1469,cam0
3114809,10:06:23.955000,6,False,False,391,288,128329,1073,cam1
3114813,10:06:24.235000,6,False,False,331,121,21117,1505,cam0
3114814,10:06:24.247000,6,False,False,392,289,128329,1073,cam1
3114872,10:06:26.948000,6,False,False,393,289,128329,1073,cam1
