entry,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
1851384,08:00:07.997000,3,True,False,286,220,4569,1255,cam0
1851417,08:00:16.316000,3,True,False,288,220,4569,1249,cam0
1851525,08:00:38.498000,3,True,False,282,222,4569,1224,cam0
1851527,08:00:38.804000,3,True,False,282,223,4569,1209,cam0
1851533,08:00:39.817000,3,True,False,283,223,4569,1209,cam0
1851584,08:00:52.003000,3,True,False,290,218,4569,1249,cam0
1851590,08:00:53.505000,3,True,False,291,219,4569,1249,cam0
1851640,08:01:05.799000,3,True,False,291,221,4569,1306,cam0
1851684,08:01:15.492000,3,True,False,288,100,6705,1393,cam2
1851686,08:01:15.704000,3,True,False,288,100,6706,1393,cam2
1851691,08:01:16.299000,3,True,False,290,220,4569,1286,cam0
1851694,08:01:16.695000,3,True,False,289,100,6707,1386,cam2
1851700,08:01:17.493000,3,True,False,290,100,6707,1393,cam2
1851731,08:01:21.697000,3,True,False,290,100,6713,1366,cam2
1851868,08:01:39.299000,3,True,False,292,215,4569,1307,cam0
1851883,08:01:41.195000,3,True,False,289,100,6721,1379,cam2
1851884,08:01:41.237000,3,True,False,288,221,4569,1263,cam0
1851887,08:01:41.689000,3,True,False,289,100,6721,1379,cam2
1851896,08:01:42.807000,3,True,False,285,221,4569,1285,cam0
1851965,08:01:51.490000,3,True,False,290,101,6721,1385,cam2
1852045,08:02:01.695000,3,True,False,290,101,6725,1392,cam2
1852124,08:02:11.507000,3,True,False,289,221,4569,1286,cam0
1852164,08:02:21.505000,3,True,False,286,223,4569,1240,cam0
1852203,08:02:27.393000,3,True,False,284,274,5748,880,cam1
1852210,08:02:28.300000,3,True,False,288,221,4569,1285,cam0
1852220,08:02:29.515000,3,True,False,289,221,4569,1286,cam0
1852346,08:02:50.500000,3,True,False,286,224,4569,1248,cam0
1852353,08:02:51.486000,3,True,False,303,114,6746,1122,cam2
1852382,08:02:55.685000,3,True,False,306,276,5754,987,cam1
1852428,08:03:00.694000,3,True,False,304,276,5755,858,cam1
1852446,08:03:02.994000,3,True,False,304,273,5755,997,cam1
1852508,08:03:14.302000,3,True,False,288,222,4569,1248,cam0
1852535,08:03:17.899000,3,True,False,306,283,5757,958,cam1
1852556,08:03:20.189000,3,True,False,301,297,5757,908,cam1
1852570,08:03:21.898000,3,True,False,296,300,5757,863,cam1
1852678,08:03:35.306000,3,True,False,288,219,4569,1313,cam0
1852726,08:03:39.692000,3,True,False,291,100,6777,1360,cam2
