entry,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
1135396,08:02:27.991000,2,True,False,475,105,20393,1008,cam2
1135407,08:02:30.691000,2,True,False,478,120,20393,870,cam2
1135428,08:02:35.996000,2,True,False,477,120,20393,894,cam2
1135567,08:04:40.487000,2,True,False,478,103,20404,957,cam2
1135629,08:04:55.988000,2,True,False,478,103,20404,967,cam2
1135771,08:05:31.489000,2,True,False,478,103,20404,957,cam2
1135779,08:05:33.487000,2,True,False,478,103,20404,967,cam2
1135888,08:06:00.691000,2,True,False,472,115,20404,895,cam2
1135916,08:06:07.710000,2,True,False,472,115,20404,895,cam2
1135962,08:06:19.211000,2,True,False,472,115,20404,883,cam2
1135967,08:06:20.516000,2,True,False,472,115,20404,895,cam2
1136000,08:06:28.714000,2,True,False,472,115,20404,895,cam2
1136057,08:06:43.014000,2,True,False,472,115,20404,895,cam2
1136080,08:06:48.709000,2,True,False,472,115,20404,895,cam2
1136130,08:07:01.216000,2,True,False,472,115,20404,895,cam2
1136215,08:07:22.509000,2,True,False,472,115,20404,895,cam2
1136217,08:07:23.018000,2,True,False,472,115,20404,895,cam2
1136225,08:07:24.214000,2,True,False,472,115,20404,895,cam2
1136260,08:07:28.513000,2,True,False,425,243,20430,1730,cam2
1136371,08:07:42.511000,2,True,False,476,113,20404,838,cam2
1136385,08:07:44.218000,2,True,False,476,113,20404,838,cam2
1136503,08:08:01.717000,2,True,False,476,113,20431,838,cam2
1136551,08:08:13.211000,2,True,False,472,115,20431,895,cam2
1136644,08:09:33.741000,2,True,False,180,248,11877,1435,cam0
1136687,08:10:02.496000,2,True,False,209,240,11888,1761,cam0
1136824,08:10:19.294000,2,True,False,276,181,11889,1827,cam0
1136843,08:10:21.725000,2,True,False,426,112,20477,1539,cam2
1136896,08:10:48.798000,2,True,False,201,158,11890,1797,cam0
1136931,08:11:10.513000,2,True,False,423,111,20532,1575,cam2
1136964,08:11:16.716000,2,True,False,484,122,20511,836,cam2
1137046,08:11:38.999000,2,True,False,220,176,11916,1813,cam0
1137069,08:11:42.807000,2,True,False,209,253,11917,1806,cam0
1137083,08:11:45.771000,2,True,False,474,104,20548,842,cam2
1137090,08:11:47.523000,2,True,False,474,103,20548,842,cam2
1137106,08:11:51.510000,2,True,False,476,113,20548,838,cam2
1137147,08:11:59.716000,2,True,False,428,108,20567,1503,cam2
1137160,08:12:01.512000,2,True,False,476,113,20548,838,cam2
1137239,08:12:13.014000,2,True,False,476,113,20548,838,cam2
