entry,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
41,08:00:03.493000,0,True,False,352,127,39202,1224,cam1
83,08:00:06.984000,0,True,False,147,283,39222,1010,cam1
170,08:00:14.191000,0,True,False,341,126,39202,1209,cam1
274,08:00:25.999000,0,True,False,234,242,37957,1110,cam0
279,08:00:26.489000,0,True,False,350,132,39202,1162,cam1
315,08:00:29.490000,0,True,False,159,278,39224,907,cam1
361,08:00:33.293000,0,True,False,233,243,37957,1075,cam0
389,08:00:35.691000,0,True,False,148,284,39224,1010,cam1
572,08:00:51.295000,0,True,False,233,243,37957,1075,cam0
602,08:00:53.794000,0,True,False,236,242,37957,1199,cam0
621,08:00:55.493000,0,True,False,350,127,39202,1210,cam1
632,08:00:56.293000,0,True,False,235,242,37957,1160,cam0
661,08:00:58.684000,0,True,False,146,285,39229,1000,cam1
680,08:01:00.297000,0,True,False,234,243,37957,1119,cam0
707,08:01:02.903000,0,True,False,351,128,39202,1210,cam1
717,08:01:04.206000,0,True,False,350,129,39202,1210,cam1
721,08:01:04.713000,0,True,False,350,127,39202,1210,cam1
753,08:01:08.703000,0,True,False,351,127,39202,1210,cam1
774,08:01:10.912000,0,True,False,150,285,39235,1000,cam1
875,08:01:19.300000,0,True,False,244,240,37957,1032,cam0
948,08:01:25.407000,0,True,False,147,289,39235,961,cam1
985,08:01:33.997000,0,True,False,244,240,37957,1032,cam0
1028,08:01:42.909000,0,True,False,148,279,39241,1102,cam1
1101,08:01:51.996000,0,True,False,244,241,37957,1022,cam0
1125,08:01:56.902000,0,True,False,152,282,39241,1103,cam1
1130,08:01:57.705000,0,True,False,152,283,39241,1094,cam1
1154,08:02:00.709000,0,True,False,350,127,39249,1217,cam1
1216,08:02:07.907000,0,True,False,150,284,39241,1058,cam1
1397,08:02:29.703000,0,True,False,154,281,39256,1103,cam1
1417,08:02:32.403000,0,True,False,152,281,39256,1102,cam1
1493,08:02:38.402000,0,True,False,154,281,39256,1103,cam1
1542,08:02:44.203000,0,True,False,155,281,39256,1094,cam1
1567,08:02:49.702000,0,True,False,151,285,39256,1029,cam1
1589,08:02:54.209000,0,True,False,148,285,39256,1010,cam1
1613,08:02:56.997000,0,True,False,243,242,37975,1031,cam0
1622,08:02:58.212000,0,True,False,148,296,39256,941,cam1
1624,08:02:58.410000,0,True,False,147,296,39256,930,cam1
1704,08:03:06.305000,0,True,False,243,240,37975,1032,cam0
1726,08:03:08.205000,0,True,False,148,296,39256,952,cam1
1814,08:03:15.403000,0,True,False,143,293,39256,961,cam1
1854,08:03:18.793000,0,True,False,233,244,37975,1118,cam0
1916,08:03:24.407000,0,True,False,147,289,39256,1049,cam1
1949,08:03:28.495000,0,True,False,232,243,37975,1127,cam0
1966,08:03:30.705000,0,True,False,152,293,39256,962,cam1
1986,08:03:33.216000,0,True,False,149,294,39256,951,cam1
